EVENTNUM,EVENTMSGTYPE,HOMEDESCRIPTION,VISITORDESCRIPTION,TEAM
0,12,,,
1,10,Jump Ball Valanciunas vs. Gasol: Tip to DeRozan,,TOR
2,1,Scola  3PT Jump Shot (3 PTS) (DeRozan 1 AST),,TOR
3,5,,Butler Out of Bounds - Bad Pass Turnover Turnover (P1.T1),CHI
4,2,MISS Valanciunas 2' Reverse Layup,Gasol BLOCK (1 BLK),TOR
5,4,,Gasol REBOUND (Off:0 Def:1),CHI
6,2,,MISS Gasol 18' Step Back Jump Shot,CHI
7,4,Valanciunas REBOUND (Off:0 Def:1),,TOR
8,1,Carroll 2' Driving Finger Roll Layup (2 PTS),,TOR
9,1,,Gasol 19' Jump Shot (2 PTS) (Butler 1 AST),CHI
10,2,MISS Lowry 12' Turnaround Jump Shot,,TOR
11,4,,Butler REBOUND (Off:0 Def:1),CHI
12,5,Scola STEAL (1 STL),Butler Lost Ball Turnover (P2.T2),CHI
13,1,Scola 7' Driving Floating Jump Shot (5 PTS),,TOR
14,1,,Hinrich 24' 3PT Jump Shot (3 PTS) (Gibson 1 AST),CHI
16,2,MISS Lowry 20' Pullup Jump Shot,,TOR
17,4,,Gasol REBOUND (Off:0 Def:2),CHI
18,1,,Mirotic 9' Turnaround Fadeaway (2 PTS) (Gasol 1 AST),CHI
19,1,DeRozan 25' 3PT Jump Shot (3 PTS) (Lowry 1 AST),,TOR
20,2,,MISS Gasol 19' Jump Shot,CHI
21,4,Lowry REBOUND (Off:0 Def:1),,TOR
22,5,Valanciunas Lost Ball Turnover (P1.T1),Hinrich STEAL (1 STL),TOR
23,1,,Hinrich 24' 3PT Running Pull-Up Jump Shot (6 PTS),CHI
24,2,MISS Lowry 15' Turnaround Fadeaway Shot,,TOR
25,4,,Mirotic REBOUND (Off:0 Def:1),CHI
26,1,,Mirotic 26' 3PT Jump Shot (5 PTS) (Hinrich 1 AST),CHI
27,2,MISS DeRozan 16' Turnaround Fadeaway Shot,,TOR
28,4,,Gasol REBOUND (Off:0 Def:3),CHI
30,2,,MISS Gasol 18' Jump Shot,CHI
31,4,Valanciunas REBOUND (Off:0 Def:2),,TOR
32,2,MISS DeRozan 7' Driving Floating Jump Shot,,TOR
33,4,,Bulls Rebound,
34,6,Valanciunas L.B.FOUL (P1.T1) (G.Petraitis),,TOR
35,1,,Gasol 4' Driving Hook Shot (4 PTS),CHI
36,2,MISS Scola 20' Jump Shot,,TOR
37,4,,Butler REBOUND (Off:0 Def:2),CHI
38,2,,MISS Butler 5' Driving Floating Bank Jump Shot,CHI
39,4,,Mirotic REBOUND (Off:1 Def:1),CHI
40,1,,Butler 3' Alley Oop Layup (2 PTS) (Hinrich 2 AST),CHI
41,9,RAPTORS Timeout: Regular (Full 1 Short 0),,
45,1,DeRozan  3PT Jump Shot (6 PTS) (Lowry 2 AST),,TOR
46,2,,MISS Mirotic 21' Pullup Jump Shot,CHI
47,4,Lowry REBOUND (Off:0 Def:2),,TOR
48,2,MISS Lowry 24' 3PT Running Pull-Up Jump Shot,,TOR
49,4,Valanciunas REBOUND (Off:1 Def:2),,TOR
50,1,Carroll 24' 3PT Jump Shot (5 PTS) (Valanciunas 1 AST),,TOR
51,5,,Gasol Out of Bounds - Bad Pass Turnover Turnover (P1.T3),CHI
52,1,Valanciunas 19' Jump Shot (2 PTS) (Lowry 3 AST),,TOR
54,9,,Bulls Timeout: Regular (Reg.1 Short 0),
55,8,SUB: Patterson FOR Carroll,,TOR
56,8,SUB: Ross FOR Scola,,TOR
57,8,,SUB: Snell FOR Gibson,CHI
58,8,,SUB: Brooks FOR Hinrich,CHI
59,5,Valanciunas STEAL (1 STL),Gasol Bad Pass Turnover (P2.T4),CHI
60,2,MISS DeRozan  3PT Jump Shot,,TOR
61,4,Valanciunas REBOUND (Off:2 Def:2),,TOR
62,1,Valanciunas 2' Driving Finger Roll Layup (4 PTS),,TOR
63,1,,Snell 24' 3PT Jump Shot (3 PTS) (Gasol 2 AST),CHI
65,6,,Mirotic S.FOUL (P1.T1) (G.Petraitis),CHI
66,3,DeRozan Free Throw 1 of 2 (7 PTS),,TOR
68,8,SUB: Joseph FOR Lowry,,TOR
69,3,DeRozan Free Throw 2 of 2 (8 PTS),,TOR
71,2,Patterson BLOCK (1 BLK),MISS Mirotic 13' Driving Floating Jump Shot,CHI
72,4,Joseph REBOUND (Off:0 Def:1),,TOR
73,1,DeRozan 7' Floating Jump Shot (10 PTS),,TOR
74,6,,Brooks S.FOUL (P1.T2) (N.Buchert),CHI
75,8,,SUB: Portis FOR Mirotic,CHI
76,8,SUB: Biyombo FOR Valanciunas,,TOR
77,3,MISS DeRozan Free Throw 1 of 1,,TOR
79,4,,Portis REBOUND (Off:0 Def:1),CHI
81,6,Biyombo P.FOUL (P1.T2) (N.Buchert),,TOR
82,1,,Gasol 9' Turnaround Fadeaway (6 PTS),CHI
83,1,Patterson 15' Step Back Jump Shot (2 PTS),,TOR
84,2,,MISS Butler 3' Driving Hook Shot,CHI
85,4,,Gasol REBOUND (Off:1 Def:3),CHI
86,1,,Gasol 1' Putback Layup (8 PTS),CHI
87,2,MISS DeRozan 5' Floating Jump Shot,,TOR
88,4,Biyombo REBOUND (Off:1 Def:0),,TOR
89,2,MISS Patterson 9' Pullup Jump Shot,,TOR
90,4,,Brooks REBOUND (Off:0 Def:1),CHI
91,1,,Portis 1' Cutting Layup Shot (2 PTS) (Brooks 1 AST),CHI
92,5,Biyombo Double Dribble Turnover (P1.T2),,TOR
94,2,,MISS Gasol 21' Jump Shot,CHI
95,4,Patterson REBOUND (Off:0 Def:1),,TOR
96,2,MISS DeRozan 20' Pullup Jump Shot,,TOR
97,4,,Gasol REBOUND (Off:1 Def:4),CHI
98,13,,,
100,12,,,
101,2,,MISS Brooks 18' Pullup Jump Shot,CHI
102,4,Biyombo REBOUND (Off:1 Def:1),,TOR
103,2,MISS Ross  3PT Turnaround Jump Shot,,TOR
104,4,,Portis REBOUND (Off:0 Def:2),CHI
105,1,,Gibson 9' Fadeaway Jumper (2 PTS) (Brooks 2 AST),CHI
106,6,,Snell P.FOUL (P1.T1) (R.Garretson),CHI
107,2,MISS Ross 19' Pullup Jump Shot,,TOR
108,4,,Snell REBOUND (Off:0 Def:1),CHI
109,2,,MISS Snell 19' Pullup Jump Shot,CHI
110,4,,Gibson REBOUND (Off:1 Def:0),CHI
111,2,,MISS McDermott 25' 3PT Jump Shot,CHI
112,4,Patterson REBOUND (Off:0 Def:2),,TOR
113,1,Joseph 20' Pullup Jump Shot (2 PTS),,TOR
114,5,,Gibson Bad Pass Turnover (P1.T5),CHI
115,2,MISS Lowry 25' 3PT Jump Shot,,TOR
116,4,,Portis REBOUND (Off:0 Def:3),CHI
117,2,,MISS Brooks 2' Driving Reverse Layup,CHI
118,4,Patterson REBOUND (Off:0 Def:3),,TOR
119,1,Biyombo  Dunk (2 PTS) (Joseph 1 AST),,TOR
120,1,,Brooks 24' 3PT Jump Shot (3 PTS) (Gibson 2 AST),CHI
121,6,,Brooks S.FOUL (P2.T2) (R.Garretson),CHI
122,3,Joseph Free Throw 1 of 2 (3 PTS),,TOR
124,3,Joseph Free Throw 2 of 2 (4 PTS),,TOR
126,6,Joseph P.FOUL (P1.T1) (N.Buchert),,TOR
127,2,,MISS Portis 24' 3PT Jump Shot,CHI
128,4,,Gibson REBOUND (Off:2 Def:0),CHI
129,2,,MISS McDermott 16' Floating Jump Shot,CHI
130,4,Lowry REBOUND (Off:0 Def:3),,TOR
131,1,Lowry  3PT Jump Shot (3 PTS),,TOR
133,6,,McDermott OFF.Foul (P1) (R.Garretson),CHI
134,5,,McDermott Foul Turnover (P1.T6),CHI
135,9,,,
138,5,Lowry Step Out of Bounds Turnover (P1.T3),,TOR
139,1,,Brooks 1' Driving Layup (5 PTS),CHI
140,2,MISS Ross 20' Pullup Jump Shot,,TOR
141,4,Joseph REBOUND (Off:1 Def:1),,TOR
142,1,Lowry 25' 3PT Jump Shot (6 PTS) (Joseph 2 AST),,TOR
143,5,Ross STEAL (1 STL),Brooks Lost Ball Turnover (P1.T7),CHI
